deviceId,time,lat,lon,time_taken,distance,total_distance,from_koteshwor
165,"(11, 25, 39)",27.706255,85.28242667,60,144.97070400990938,113643.47304361346,7273.106984700696
165,"(11, 26, 39)",27.70413833,85.28222167,60,236.226629485722,113879.69967309918,7196.071868099154
165,"(11, 27, 38)",27.7008,85.28179,59,373.6301066329355,114253.32977973211,7098.90093880755
165,"(11, 28, 38)",27.69839667,85.28155167,60,268.2662149220468,114521.59599465416,7033.620701143028
165,"(11, 29, 37)",27.69766,85.28159667,59,82.03368978876883,114603.62968444293,7004.453253418231
165,"(11, 30, 37)",27.69655833,85.28155833,60,122.55825823409234,114726.18794267702,6972.383832531828
165,"(11, 31, 37)",27.69390333,85.28171333,60,295.61669224728405,115021.80463492431,6879.806702813371
165,"(11, 32, 36)",27.68929167,85.28436667,59,575.5047531598276,115597.30938808413,6515.746463017554
165,"(11, 33, 36)",27.68840167,85.28724167,60,299.876626662201,115897.18601474633,6219.701809344825
165,"(11, 34, 35)",27.68543833,85.29409167,59,750.6586088566451,116647.84462360297,5502.639952990766
165,"(11, 35, 35)",27.685145,85.29626833,60,216.79151938307993,116864.63614298606,5285.878873814791
165,"(11, 36, 34)",27.68491,85.298155,59,187.59935276917707,117052.23549575523,5098.28279340207
165,"(11, 37, 34)",27.68488,85.29882667,60,66.21999647531987,117118.45549223055,5032.295675546168
165,"(11, 38, 34)",27.68484167,85.2989,60,8.38451968152338,117126.84001191208,5024.568875390956
165,"(11, 39, 33)",27.68481,85.29902167,59,12.487082633481203,117139.32709454556,5012.225555755038
165,"(11, 40, 33)",27.684355,85.30197333,60,295.006539464868,117434.33363401043,4717.451573098392
165,"(11, 41, 32)",27.68206833,85.30250167,59,259.5336615819427,117693.86729559237,4639.040866175048
165,"(11, 42, 32)",27.67826,85.302355,60,423.7131859255876,118117.58048151796,4639.562438655733
165,"(11, 43, 32)",27.67458167,85.30230333,60,409.04328095779283,118526.62376247575,4667.83873489634
165,"(11, 45, 1)",27.669645,85.30588167,89,652.3037860031093,119178.92754847885,4410.823415164578
165,"(11, 46, 0)",27.66701167,85.30801167,59,360.1937444871393,119539.121292966,4287.221821890708
165,"(11, 47, 0)",27.666875,85.30819,60,23.22450437183924,119562.34579733784,4275.189384898497
165,"(11, 48, 0)",27.66690833,85.30818167,60,3.79583287022116,119566.14163020806,4274.822168100423
165,"(11, 48, 59)",27.66690833,85.30819167,59,0.9848111576984048,119567.12644136576,4273.885607208176
165,"(11, 49, 59)",27.66688,85.30823333,60,5.172601088384644,119572.29904245415,4270.960118342093
165,"(11, 50, 58)",27.66688333,85.30820833,59,2.489717036015486,119574.78875949017,4273.186034041338
165,"(11, 51, 58)",27.666795,85.30833,60,15.493286633221176,119590.2820461234,4264.857596725538
